Country,Sex,Year,h,v,G,eo
Italy,Females,1872,0.6262744669841331,-0.022751190702838354,0.5599347949866877,30.26
Italy,Females,1873,0.6806390562441664,0.03846279548060715,0.5328231870642265,31.84
Italy,Females,1874,0.6918525294191216,0.047174337065900726,0.5289820999241327,32.02
Italy,Females,1875,0.6537751388426578,0.03321654449161826,0.5354673588852463,31.66
Italy,Females,1876,0.7079343600972966,0.07974191578317952,0.514717269605428,34.00
Italy,Females,1877,0.7657285787939424,0.11484214911192056,0.49868582561380803,35.20
Italy,Females,1878,0.7303120880885178,0.10557554229294216,0.502998308249322,34.59
Italy,Females,1879,0.7281599587705142,0.0944874344887715,0.5078723553526975,34.18
Italy,Females,1880,0.7057146240078938,0.07614679845518335,0.5161803553045659,33.20
Italy,Females,1881,0.6921319055377485,0.08212062920057053,0.5129666986258686,34.49
Italy,Females,1882,0.7110226735271068,0.07872350824331786,0.5142202342450916,34.61
Italy,Females,1883,0.7101251469298435,0.10092513567243197,0.5041878813527514,35.24
Italy,Females,1884,0.7220291821664113,0.14147903762123543,0.48659646989954763,36.68
Italy,Females,1885,0.819096867008437,0.13774303502835075,0.48783270563697767,36.80
Italy,Females,1886,0.7827421368654612,0.10744337732694448,0.5021547581946548,35.11
Italy,Females,1887,0.8046386826602997,0.12086797142591393,0.4956193563052539,36.01
Italy,Females,1888,0.8425531213727797,0.15045166124182618,0.48202004686580036,37.07
Italy,Females,1889,0.8982351498210508,0.1931923391125985,0.46250809078585314,39.13
Italy,Females,1890,0.8958145259546162,0.19165333352235098,0.4633352629645439,38.62
Italy,Females,1891,0.8852585511036172,0.1855221485609595,0.46544178938319347,38.56
Italy,Females,1892,0.8975724584087363,0.20936302444403823,0.4553130228180512,38.97
Italy,Females,1893,0.9143772633333465,0.22887447511896972,0.44655508770056235,40.02
Italy,Females,1894,0.8993522434662241,0.22833289498744055,0.44691188546880534,40.10
Italy,Females,1895,0.8708044900199153,0.2198032304211433,0.45065317565843294,39.95
Italy,Females,1896,0.8953849303345515,0.24320794589849806,0.4404756667852543,41.04
Italy,Females,1897,0.9720435021088852,0.2949002676361232,0.4183633909864811,43.43
Italy,Females,1898,0.9528328598666751,0.2834733962279339,0.4231597628017087,42.60
Italy,Females,1899,1.0100364120132626,0.31679272818462884,0.4088880316732461,43.83
Italy,Females,1900,0.9753726882146913,0.2794473373383056,0.42430064517245575,41.98
Italy,Females,1901,1.0376006993417566,0.31945504342186254,0.4072304966139711,43.89
Italy,Females,1902,1.0125531466609836,0.2885975252037484,0.41987107798901147,43.19
Italy,Females,1903,0.997267382423622,0.30780104286832544,0.41221595720045245,43.47
Italy,Females,1904,1.0093146763746,0.32655122390905417,0.40443345496954897,44.62
Italy,Females,1905,1.0343122510767842,0.325931018868064,0.40428220921794433,44.25
Italy,Females,1906,1.0466160509479534,0.343277621377476,0.39650898782647204,45.43
Italy,Females,1907,1.0698760950970114,0.3646224854958495,0.38819027213036206,45.76
Italy,Females,1908,1.0121314471613185,0.31097741801792217,0.410931756907492,43.51
Italy,Females,1909,1.0715794883894427,0.3571974980809329,0.39094010536849183,45.38
Italy,Females,1910,1.1166991769784957,0.3930606860309356,0.3759484020591986,47.14
Italy,Females,1911,1.0736332641680923,0.35448827299796337,0.3924043246786041,45.09
Italy,Females,1912,1.1818603771258354,0.4481871772932535,0.35366597242656517,49.34
Italy,Females,1913,1.1672637180616399,0.4360059868583337,0.3583427589506707,48.89
Italy,Females,1914,1.2178045906822947,0.481706343208473,0.34087593983437514,50.34
Italy,Females,1915,1.1355253693482896,0.39676995432405604,0.3739629148006471,47.09
Italy,Females,1916,1.1015398314457223,0.3739124295551033,0.3831632529249894,46.70
Italy,Females,1917,1.1464786287808424,0.40928401791376107,0.3691712543551008,47.41
Italy,Females,1918,0.610013713948098,0.013891008725589522,0.5450939493763259,28.34
Italy,Females,1919,1.0620068875043362,0.34393022125927547,0.39788446920727977,44.88
Italy,Females,1920,1.0935710482491519,0.3803648665825416,0.38348197276686674,46.36
Italy,Females,1921,1.2115344426034351,0.46115461775315514,0.3477575204504377,49.95
Italy,Females,1922,1.2744439066846924,0.5079652471761029,0.330542223776054,50.84
Italy,Females,1923,1.2807067813237927,0.5182832891997753,0.3264326746969998,52.09
Italy,Females,1924,1.2975139694118136,0.5352061322502375,0.32110734524910034,52.30
Italy,Females,1925,1.3053261480112528,0.5304211449911841,0.3222442730604602,52.23
Italy,Females,1926,1.2874210632048435,0.5167365039626891,0.32691033831688343,51.81
Italy,Females,1927,1.3372561429700756,0.5563641178550836,0.31229812943723273,53.38
Italy,Females,1928,1.3511556890223795,0.5645520902222743,0.3089972427791546,53.58
Italy,Females,1929,1.3594330998942752,0.5702467093682949,0.3067508789806477,53.30
Italy,Females,1930,1.4022285317268761,0.6232702152749059,0.2886703124135761,56.27
Italy,Females,1931,1.4190480934747542,0.6311328590335062,0.28564686150433877,55.86
Italy,Females,1932,1.420013209717362,0.6354128566923511,0.28434776358539315,55.95
Italy,Females,1933,1.4667044280893422,0.6753451785165969,0.2716430801802115,57.45
Italy,Females,1934,1.4782889593990272,0.6874566735027468,0.2672747755850693,58.12
Italy,Females,1935,1.4809006247816061,0.6821982041400069,0.26881370608716565,57.51
Italy,Females,1936,1.5078782690684795,0.7058509425085242,0.2611657127013134,58.17
Italy,Females,1937,1.4504509809034156,0.6524005413109671,0.2774594773707868,56.80
Italy,Females,1938,1.4893205465708086,0.6770823613707366,0.2688473525150662,57.54
Italy,Females,1939,1.5467142371235714,0.73152822609308,0.2520523920725275,59.02
Italy,Females,1940,1.5605419861910008,0.7346622510796001,0.24993316189817297,59.03
Italy,Females,1941,1.5265318109522654,0.7033933572479405,0.2589409757115776,58.31
Italy,Females,1942,1.4965874851219991,0.6803021954992127,0.2669975457539504,57.58
Italy,Females,1943,1.4468935071923499,0.646499154751607,0.2803210973782481,56.27
Italy,Females,1944,1.5081707988526316,0.7012815562516311,0.26418273883089377,57.34
Italy,Females,1945,1.520775853894628,0.7088675818729123,0.2591842088906824,58.63
Italy,Females,1946,1.5590316510520517,0.7382894063595867,0.24837139427608068,60.53
Italy,Females,1947,1.6697745669226947,0.8437736995309342,0.21965753658687884,62.92
Italy,Females,1948,1.7518914915062183,0.9245151917026978,0.19920906297981708,64.91
Italy,Females,1949,1.7854190705846975,0.9513275507069716,0.191605947448389,65.62
Italy,Females,1950,1.8360393447089625,1.0198515757181053,0.1769577810027678,67.43
Italy,Females,1951,1.857661709715772,1.0254628145274944,0.17493862922759437,67.05
Italy,Females,1952,1.8882563910995707,1.05125775308614,0.16896353137383968,67.69
Italy,Females,1953,1.918985036915364,1.0944507216134016,0.16082390276169406,68.39
Italy,Females,1954,1.9414039266531,1.1344691445471702,0.15403414798516904,69.88
Italy,Females,1955,1.9655625633561775,1.1616200235909018,0.14936384501132335,70.36
Italy,Females,1956,2.003606041693127,1.1871852607332458,0.14449929540987633,69.81
Italy,Females,1957,1.9737319327514704,1.166367254255038,0.148705597214681,70.09
Italy,Females,1958,1.991889970309485,1.1943087070195888,0.14375728335383448,71.18
Italy,Females,1959,2.0022534878523763,1.2060842056854153,0.1420990579764673,71.64
Italy,Females,1960,2.0353032315333595,1.233395678304897,0.1376628590979637,71.69
Italy,Females,1961,2.052536436339779,1.2582403879998905,0.1342530232340723,72.45
Italy,Females,1962,2.057650046441995,1.2565365295015758,0.13420818863071052,71.88
