code,team,team_gender,country,country_full,country_code,discipline,disciplines_code,events,athletes,coaches,athletes_codes,num_athletes,coaches_codes,num_coaches
JUDXTEAM6---CAN01,Canada,X,Canada,Canada,CAN,Judo,JUD,Mixed Team,"['BEAUCHEMIN-PINARD Catherine', 'DEGUCHI Christa', 'GAUTHIER DRAPEAU Francois', 'MARGELIDON Arthur', 'PORTUONDO ISASI Ana Laura', 'ELNAHAS Shady', 'DEGUCHI Kelly']",,"['1955520', '1955526', '1955535', '1955527', '1955528', '1955529', '1955533']",7.0,,
JUDXTEAM6---EOR01,Refugee Olympic Team,X,EOR,Refugee Olympic Team,EOR,Judo,JUD,Mixed Team,"['ARAB Sibghatullah', 'BARBARI ZHARFI Mahboubeh', 'DAHOUK Muna', 'KHANKAN Adnan', 'RASHNONEZHAD Mohammad', 'SHAHEEN Nigara']",,"['1894587', '1894562', '1894573', '1894529', '1894572', '1894575']",6.0,,
JUDXTEAM6---ESP01,Spain,X,Spain,Spain,ESP,Judo,JUD,Mixed Team,"['CASES ROCA Salvador', 'MOSAKHLISHVILI Tristani', 'SHERAZADISHVILI Nikoloz', 'TORO SOLER Ariane', 'CABANA PEREZ Cristina', 'TSUNODA ROUSTANT Ai', 'MARTINEZ ABELENDA Laura', 'GARRIGOS Francisco', 'GARCIA TORNE David']",,"['1563539', '1563549', '1563552', '1563553', '1563537', '1563554', '1563547', '1563544', '1563543']",9.0,,
JUDXTEAM6---FRA01,France,X,France,France,FRA,Judo,JUD,Mixed Team,"['BOUKLI Shirine', 'BUCHARD Amandine', 'CYSIQUE Sarah Leonie', 'AGBEGNENOU Clarisse', 'GAHIE Marie Eve', 'MALONGA Madeleine', 'DICKO Romane', 'MKHEIDZE Luka', 'KHYAR Walide', 'GABA Joan-Benjamin', 'DJALO Alpha Oumar', 'NGAYAP HAMBOU Maxime-Gael', 'DIESSE Aurelien', 'RINER Teddy']",,"['1891280', '1891283', '1891286', '1891289', '1891292', '1891297', '1891300', '1891304', '1891307', '1891311', '1891314', '1891318', '1891320', '1891323']",14.0,,
JUDXTEAM6---GEO01,Georgia,X,Georgia,Georgia,GEO,Judo,JUD,Mixed Team,"['ASKILASHVILI Eter', 'BEKAURI Lasha', 'GRIGALASHVILI Tato', 'LIPARTELIANI Eteri', 'MARGVELASHVILI Vazha', 'SARDALASHVILI Giorgi', 'SHAVDATUASHVILI Lasha', 'SOMKHISHVILI Sophio', 'SULAMANIDZE Ilia', 'TUSHISHVILI Guram']",,"['1548954', '1548817', '1546651', '1548804', '1548941', '1936972', '1548829', '1548824', '1552370', '1548934']",10.0,,
JUDXTEAM6---GER01,Germany,X,Germany,Germany,GER,Judo,JUD,Mixed Team,"['WANDTKE Igor', 'CAVELIUS Timo', 'STARKE Pauline', 'BUTKEREIT Miriam', 'WAGNER Anna-Maria', 'ABRAMOV Erik', 'TRIPPEL Eduard', 'MENZ Katharina', 'BALLHAUS Mascha', 'LUCHT Renee']",,"['1563093', '1563098', '1563086', '1563082', '1563081', '1563099', '1563097', '1563084', '1563104', '1563088']",10.0,,
JUDXTEAM6---HUN01,Hungary,X,Hungary,Hungary,HUN,Judo,JUD,Mixed Team,"['GERCSAK Szabina', 'OZBAS Szofi', 'PONGRACZ Bence', 'PUPP Reka', 'TOTH Krisztian', 'UNGVARI Attila', 'VEG Zsombor']",,"['1910689', '1910812', '1957258', '1911067', '1911110', '1911113', '1911142']",7.0,,
JUDXTEAM6---ISR01,Israel,X,Israel,Israel,ISR,Judo,JUD,Mixed Team,"['BUTBUL Tohar', 'GOSHEN Maya', 'HERSHKO Raz', 'LANIR Inbar', 'MUKI Sagi', 'NELSON LEVY Timna', 'PALTCHIK Peter', 'PRIMO Gefen', 'RISHONY Shira', 'SHARIR Gili', 'SHMAILOV Baruch', 'WOLCZAK Yam']",,"['1892943', '1892792', '1892796', '1892794', '1892945', '1892778', '1892957', '1892775', '1892698', '1892780', '1892939', '1892798']",12.0,,
JUDXTEAM6---ITA01,Italy,X,Italy,Italy,ITA,Judo,JUD,Mixed Team,"['CARLINO Andrea', 'PIRAS Matteo', 'LOMBARDO Manuel', 'ESPOSITO Antonio', 'PARLATI Christian', 'PIRELLI Gennaro', 'SCUTTO Assunta', 'GIUFFRIDA Odette', 'TONIOLO Veronica', 'RUSSO Savita', 'POLLING Kim', 'BELLANDI Alice', 'TAVANO Asya']",,"['1925508', '1925513', '1925350', '1925515', '1925351', '1925519', '1925346', '1925347', '1925348', '1925542', '1947761', '1925349', '1925352']",13.0,,
JUDXTEAM6---JPN01,Japan,X,Japan,Japan,JPN,Judo,JUD,Mixed Team,"['NAGAYAMA Ryuju', 'ABE Hifumi', 'HASHIMOTO Soichi', 'NAGASE Takanori', 'MURAO Sanshiro', 'ABE Uta', 'FUNAKUBO Haruka', 'NIIZOE Saki', 'WOLF Aaron', 'TSUNODA Natsumi', 'SAITO Tatsuru', 'TAKAICHI Miku', 'TAKAYAMA Rika', 'SONE Akira']",,"['1896752', '1896763', '1896740', '1896765', '1896750', '1896760', '1896733', '1896744', '1896764', '1896735', '1896748', '1896767', '1896743', '1896762']",14.0,,
