start_date,end_date,day,status,discipline,discipline_code,event,event_medal,phase,gender,event_type,venue,venue_code,location_description,location_code,url
2024-08-04T09:00:00+02:00,2024-08-04T11:15:00+02:00,2024-08-04,SCHEDULED,Volleyball,VVO,Women,0,Women's Preliminary Round - Pool C,W,HTEAM,South Paris Arena 1,SP1,South Paris Arena 1,SP1,/en/paris-2024/results/volleyball/women/gpc-000600--
2024-08-04T09:30:00+02:00,2024-08-04T09:43:00+02:00,2024-08-04,SCHEDULED,Archery,ARC,Men's Individual,0,Men's Individual 1/8 Elimination Round,M,HATH,Invalides,INV,Invalides,INV,/en/paris-2024/results/archery/men-s-individual/8fnl000200--
2024-08-04T09:30:00+02:00,2024-08-04T14:30:00+02:00,2024-08-04,SCHEDULED,Shooting,SHO,Skeet Women,0,Skeet Women's Qualification,W,ATH,Chateauroux Shooting Ctr,CTX,Chateauroux - Shotgun Range,SH6,/en/paris-2024/results/shooting/skeet-women/qual--------
2024-08-04T09:43:00+02:00,2024-08-04T09:56:00+02:00,2024-08-04,SCHEDULED,Archery,ARC,Men's Individual,0,Men's Individual 1/8 Elimination Round,M,HATH,Invalides,INV,Invalides,INV,/en/paris-2024/results/archery/men-s-individual/8fnl000300--
2024-08-04T09:56:00+02:00,2024-08-04T10:09:00+02:00,2024-08-04,SCHEDULED,Archery,ARC,Men's Individual,0,Men's Individual 1/8 Elimination Round,M,HATH,Invalides,INV,Invalides,INV,/en/paris-2024/results/archery/men-s-individual/8fnl000400--
2024-08-04T10:00:00+02:00,2024-08-04T10:50:00+02:00,2024-08-04,SCHEDULED,Beach Volleyball,VBV,Women,0,Women's Round of 16,W,HTEAM,Eiffel Tower Stadium,EIF,Eiffel Tower Stadium - Centre Court,BV0,/en/paris-2024/results/beach-volleyball/women/8fnl000200--
2024-08-04T10:00:00+02:00,2024-08-04T10:50:00+02:00,2024-08-04,SCHEDULED,Beach Volleyball,VBV,Beach Volleyball,0,Beach Volleyball Session Schedules,-,NONE,Eiffel Tower Stadium,EIF,Eiffel Tower Stadium - Centre Court,BV0,
2024-08-04T10:00:00+02:00,2024-08-04T13:30:00+02:00,2024-08-04,SCHEDULED,Equestrian,EQU,Dressage Individual,1,Dressage Individual Grand Prix Freestyle,O,ATH,Château de Versailles,VER,Château de Versailles,VER,/en/paris-2024/results/equestrian/dressage-individual/gpfr000100--
2024-08-04T10:00:00+02:00,2024-08-04T11:45:00+02:00,2024-08-04,SCHEDULED,Hockey,HOC,Men,0,Men's Quarter-finals,M,HTEAM,Yves-du-Manoir Stadium,YDM,Yves-du-Manoir Stadium - Pitch 1,HO1,/en/paris-2024/results/hockey/men/qfnl000100--
2024-08-04T10:05:00+02:00,2024-08-04T10:45:00+02:00,2024-08-04,SCHEDULED,Athletics,ATH,Women's 3000m Steeplechase,0,Women's 3000m Steeplechase Round 1,W,ATH,Stade de France,STA,Stade de France - Track,A01,/en/paris-2024/results/athletics/women-s-3000m-steeplechase/rnd1--------
2024-08-04T10:09:00+02:00,2024-08-04T10:22:00+02:00,2024-08-04,SCHEDULED,Archery,ARC,Men's Individual,0,Men's Individual 1/8 Elimination Round,M,HATH,Invalides,INV,Invalides,INV,/en/paris-2024/results/archery/men-s-individual/8fnl000100--
2024-08-04T10:20:00+02:00,2024-08-04T11:16:00+02:00,2024-08-04,SCHEDULED,Athletics,ATH,Women's Hammer Throw,0,Women's Hammer Throw Qualification,W,ATH,Stade de France,STA,Stade de France - Long Throws,A12,/en/paris-2024/results/athletics/women-s-hammer-throw/qual--------
2024-08-04T10:22:00+02:00,2024-08-04T10:35:00+02:00,2024-08-04,SCHEDULED,Archery,ARC,Men's Individual,0,Men's Individual 1/8 Elimination Round,M,HATH,Invalides,INV,Invalides,INV,/en/paris-2024/results/archery/men-s-individual/8fnl000700--
2024-08-04T10:35:00+02:00,2024-08-04T10:48:00+02:00,2024-08-04,SCHEDULED,Archery,ARC,Men's Individual,0,Men's Individual 1/8 Elimination Round,M,HATH,Invalides,INV,Invalides,INV,/en/paris-2024/results/archery/men-s-individual/8fnl000600--
2024-08-04T10:48:00+02:00,2024-08-04T11:01:00+02:00,2024-08-04,SCHEDULED,Archery,ARC,Men's Individual,0,Men's Individual 1/8 Elimination Round,M,HATH,Invalides,INV,Invalides,INV,/en/paris-2024/results/archery/men-s-individual/8fnl000500--
2024-08-04T10:55:00+02:00,2024-08-04T11:36:00+02:00,2024-08-04,SCHEDULED,Athletics,ATH,Women's 200m,0,Women's 200m Round 1,W,ATH,Stade de France,STA,Stade de France - Track,A01,/en/paris-2024/results/athletics/women-s-200m/rnd1--------
2024-08-04T11:00:00+02:00,2024-08-04T11:56:00+02:00,2024-08-04,SCHEDULED,Athletics,ATH,Men's Long Jump,0,Men's Long Jump Qualification,M,ATH,Stade de France,STA,Stade de France - Long Jump,A14,/en/paris-2024/results/athletics/men-s-long-jump/qual--------
2024-08-04T11:00:00+02:00,2024-08-04T12:45:00+02:00,2024-08-04,SCHEDULED,Basketball,BKB,Women,0,Women's Group Phase - Group C,W,HTEAM,Pierre Mauroy Stadium,LIL,Pierre Mauroy Stadium,LIL,/en/paris-2024/results/basketball/women/gpc-000500--
2024-08-04T11:00:00+02:00,2024-08-04T11:11:00+02:00,2024-08-04,SCHEDULED,Boxing,BOX,Women's 57kg,0,Women's 57kg - Quarterfinals,W,HATH,North Paris Arena,NPA,North Paris Arena,NPA,/en/paris-2024/results/boxing/women-s-57kg/qfnl000100--
2024-08-04T11:00:00+02:00,2024-08-04T12:30:00+02:00,2024-08-04,SCHEDULED,Handball,HBL,Men,0,Men's Preliminary Round Group B,M,HTEAM,South Paris Arena 6,SP6,South Paris Arena 6,SP6,/en/paris-2024/results/handball/men/gpb-001300--
2024-08-04T11:01:00+02:00,2024-08-04T11:14:00+02:00,2024-08-04,SCHEDULED,Archery,ARC,Men's Individual,0,Men's Individual 1/8 Elimination Round,M,HATH,Invalides,INV,Invalides,INV,/en/paris-2024/results/archery/men-s-individual/8fnl000800--
2024-08-04T11:16:00+02:00,2024-08-04T11:27:00+02:00,2024-08-04,SCHEDULED,Boxing,BOX,Women's 57kg,0,Women's 57kg - Quarterfinals,W,HATH,North Paris Arena,NPA,North Paris Arena,NPA,/en/paris-2024/results/boxing/women-s-57kg/qfnl000200--
2024-08-04T11:32:00+02:00,2024-08-04T11:43:00+02:00,2024-08-04,SCHEDULED,Boxing,BOX,Women's 75kg,0,Women's 75kg - Quarterfinals,W,HATH,North Paris Arena,NPA,North Paris Arena,NPA,/en/paris-2024/results/boxing/women-s-75kg/qfnl000100--
2024-08-04T11:45:00+02:00,2024-08-04T12:41:00+02:00,2024-08-04,SCHEDULED,Athletics,ATH,Women's Hammer Throw,0,Women's Hammer Throw Qualification,W,ATH,Stade de France,STA,Stade de France - Long Throws,A12,/en/paris-2024/results/athletics/women-s-hammer-throw/qual--------
2024-08-04T11:48:00+02:00,2024-08-04T11:59:00+02:00,2024-08-04,SCHEDULED,Boxing,BOX,Women's 75kg,0,Women's 75kg - Quarterfinals,W,HATH,North Paris Arena,NPA,North Paris Arena,NPA,/en/paris-2024/results/boxing/women-s-75kg/qfnl000200--
2024-08-04T11:50:00+02:00,2024-08-04T12:23:00+02:00,2024-08-04,SCHEDULED,Athletics,ATH,Men's 110m Hurdles,0,Men's 110m Hurdles Round 1,M,ATH,Stade de France,STA,Stade de France - Track,A01,/en/paris-2024/results/athletics/men-s-110m-hurdles/rnd1--------
2024-08-04T11:50:00+02:00,2024-08-04T13:00:00+02:00,2024-08-04,SCHEDULED,Fencing,FEN,Men's Foil Team,0,Men's Foil Team Table of 8,M,HTEAM,Grand Palais,GRP,Grand Palais - Yellow Piste,FEY,/en/paris-2024/results/fencing/men-s-foil-team/qfnl000200--
2024-08-04T11:50:00+02:00,2024-08-04T13:00:00+02:00,2024-08-04,SCHEDULED,Fencing,FEN,Men's Foil Team,0,Men's Foil Team Table of 8,M,HTEAM,Grand Palais,GRP,Grand Palais - Red Piste,FER,/en/paris-2024/results/fencing/men-s-foil-team/qfnl000400--
2024-08-04T11:50:00+02:00,2024-08-04T13:00:00+02:00,2024-08-04,SCHEDULED,Fencing,FEN,Men's Foil Team,0,Men's Foil Team Table of 8,M,HTEAM,Grand Palais,GRP,Grand Palais - Green Piste,FEG,/en/paris-2024/results/fencing/men-s-foil-team/qfnl000300--
